sentiment,Content
5,"['(Bloomberg) -- U.K. Prime Minister Theresa May left open the possibility that freedom of movement could be part of a transitional agreement with the European Union if divorce talks aren?t concluded within the two years allotted.', 'A temporary arrangement would take effect in March 2019, when the the U.K. is officially out of the bloc, and would hold until a permanent trade deal is struck between the two sides. There is a growing acknowledgement that the formal mechanism to quit the EU, which May triggered March 29, might not allow enough time to untangle many of the sticking points.', 'On a tripto the Middle East, May was asked specifically about whether EU citizens should still have a right to come to the U.K., and vice versa, during this interim period.', '?Once we?ve got the deal, once we?ve agreed what the new relationship will be for the future, it will be necessary for there to be a period of time when businesses and governments are adjusting systems and so forth,? May told reporters as she flew to Amman on Monday.', 'Everything you need to know about Brexit explained right here.', 'This bridge -- the U.K. call it an implementation period, the EU refers to it as a transitional arrangement -- could last any number of years depending on how negotiations develop. Both sides seem to want to put a time limit on it, with three yearsone recentlyfloated figure.', '', '', '']"
5,"['(Bloomberg) -- The European Union said talks hit an impasse over what the U.K. owes when it leaves, increasing the chances of a messy departure as time is running out to clinch a deal.', 'The pound fell to the weakest in a month after chief EU negotiator Michel Barnier said there had been no discussions over the all-important bill that the U.K. has to agree it will pay before the EU will start trade talks.', 'Read more about Brexit?s costs and whether Britain will pay up', 'Barnier put the onus firmly on the U.K.?s squabbling government to find the political will to move the talks forward, while both sides raised the prospect of talks breaking down without an agreement -- throwing businesses into a chaotic legal limbo.', '?No deal will be a very bad deal, huh? And to be clear on our side we will be ready to face any eventualities and all eventualities,? Barnier, told reporters in Brussels on Thursday. After his words, the pound traded down by as much as 0.6 percent against the euro.', 'On the question of the financial settlement -- the most intractable of the three pressing issues -- Barnier said: ?We have reached a state of deadlock which is very disturbing for thousands of project promoters in Europe and it?s disturbing also for taxpayers.?', 'Barnier noted that Prime Minister Theresa May had pledged in her speech in Florence last month that the U.K. would continue to pay into the EU budget for two years after the split.', 'He signaled disappointment that this wasn?t followed up in the negotiations this week. But in return for those payments, May wants a two-year transition period to ease the anxiety for businesses.', 'But the U.K. understood his words as an elegant cry for help from the Frenchman to the 27 European leaders, according to a person familiar with the U.K. team?s negotiating position: a plea to them to loosen up his mandate so he can start talking about the future alongside the divorce terms.', 'If true, between now and the summit a week away, signs of movement may come from the rest of the European capitals. May?s government believes the ball is still in the EU?s court -- and it is now for the other leaders to decide if they want to unlock the talks.', 'Barnier held out hope that progress could be made at a summit in December, if the U.K. fleshes out more what May alluded to in Florence less than a month ago. That will be hard in a Conservative government constantly at war with itself on the direction of Brexit -- her own chancellor was mauled by euro-skeptics for his reluctance to plow money into non-deal contingency plans.', 'Starting trade talks in December leaves less than a year to get a deal on trade and the transition. Some businesses won?t wait around to see the outcome, with banks the first taking steps to go. Crashing out of the bloc would wreak havoc on the economy, affecting flights, financial markets and pharmaceuticals and slapping tariffs on all foreign trade.', 'The U.K. is still butting against the EU?s timetable, saying it can?t sort the divorce issues, such as the U.K.?s new EU land border that will bisect the island of Ireland --- until trade talks are under way.', 'With talks showing increasing brinkmanship, Brexit Secretary David Davis said: ""I make no secret of the fact that to provide certainty, we must talk about the future.?', 'The focus now turns to the summit next week of the EU?s 27 leaders. Initially trade talks were expected to start at that meeting, now the U.K. can hope for little more than encouraging words -- or chinks in the EU?s armor.', '', '', '']"
5,"['(Bloomberg) -- China?s largest cryptocurrency operators are proving hard to keep down.', 'From OKCoin toBinance.com, Chinese exchanges and wallet services are seeking a second life in friendlier Asian jurisdictions as the mainlandclamps downon trading and coin offerings. They?re applying for licenses in Japan -- solo or via partners -- setting up over-the-counter shops in Hong Kong, or laying the groundwork to operate from Singapore and South Korea.', 'Forced out of their own home turf, the players that once dominated the world?slargestdigital currency market are betting that investors harboring an insatiable demand for alternative investments will follow.\xa0Going abroad may help operators hedge risks, attract new customers and stake out other corners of the$170 billionindustry.', '?China used to account for a significant share of the cryptocurrency market, so we think the demand is there,"" said Hong Kong-basedLennix Lai, the financial market director for\xa0OKEx, which is backed by OKCoin. ?As formerly one of the biggest operators in China, we think we have a good chance of competing globally.?', 'Exchange startups live or die by their ability to execute transactions, which is why it matters where their operations and servers are located. China?s crackdown means those marketplaces are forced to shift resources en masse.', 'Japan has emerged as a safe haven for many operators because of favorable policies: the domestic financial regulator approved11exchanges in September alone,\xa0with some like BTCBox already servicing a wide base of Chinese customers.\xa0The agency?s close involvement reflects a desire to\xa0root out money laundering and also prevent another fiasco like the collapse of Mt. Gox. That helped Japan regain its title as the world?slargestcryptocurrency market in past weeks.', 'There?re at least 19 companies applying for a Japanese license.Zhao Changpeng, CEO\xa0of exchange operator Binance.com, says he too is looking for local partners and even\xa0considering acquiring an operational exchange. Others including Beijing-basedBixinhave also expressed interest. Its overseas app is known as Pocket IM, a messaging service that doubles as a bitcoin wallet.\xa0The initial reception has been warm.', '?We?re talking to almost all of those guys. They?re all desperate now,? saidMike Kayamori, head of Tokyo-basedQuoine, which last month won a license to operate a bitcoin exchange in the country.\xa0Kayamori expects to sign a deal with a Chinese partner by the end of the year. ?There?s a lot of Chinese retail people reaching out to us, but we can?t handle it. So if a Chinese partner can handle all of those and they connect to us, that will be much easier.?', 'OKEx is one of those going it alone, and in Hong Kong.\xa0It wants to corral Chinese investors who?ve resorted to peer-to-peer trading\xa0over messaging apps like Telegram since the clampdown: basically Chinese investors can\xa0still buy from individuals who?ve access to overseas markets.', 'OKEx wants to scale that by rolling out its own over-the-counter trading platform in Hong Kong. They?re now trying to recruit people to act as third-party market makers, who?ll chaperone deals, make money off a spread and then split the revenue with OKEx. Lai expects to attract customers mostly from China, Russia and the U.K.', 'Others are exploring Singapore as a backup option, though the island nationhas yetto enact specific regulations.Bitmain, which operates the world?s largest mining collective, said it?s opening a regional headquarters there. Co-founder Wu Jihan said he wants to recruit talent from Southeast Asia, and tap a hub of commerce that serves as research bases for the likes of Nvidia Corp. and Alphabet Inc.', 'Wherever Chinese operators end up, one thing is clear: as regulatory winds continue to shift, exchanges and other cryptocurrency players need to be nimble enough to swiftly operate and move across various jurisdictions.', '?Countries that adopt more lenient policies toward this space will become the winners of the crypto economy,? saidJake Smith, general manager at bitcoin.com.', '', '', '?2017 Bloomberg L.P.']"
4,"['(Bloomberg) -- Walt Disney Co. is going to spend its way out of its problems.', 'The world?s largest entertainment company, which reported lower profit Thursday, is already working on a new series of ?Star Wars? films, movies that can cost $250 million each. The company will spend $1 billion more on its theme parks in the new fiscal year and plans to start making movies and TV shows for a new streaming service that will launch in 2019.', 'Shares of Disney jumped as much as 3.5 percent, the biggest intraday gain since November 2016, erasing the stock?s losses for the year.', 'Burbank, California-based Disney is trying to adapt to upheaval in the TV and film industries triggered by new entertainment options like the Netflix streaming service. Viewers are spending less time with conventional media, whether it?s televised sports, DVDs or feature films on the big screen, and that?s forcing companies like Disney to reach out to them directly. All those costs will weigh on profit, the company said.', '?They reminded investors that they have these great brands and they?re putting their resources behind them, they?re addressing this head on,? said Robin Diedrich, an analyst at Edward Jones & Co. ?The longer-term investor will be comfortable with a couple of years of investing, and a flattish type of earnings.?', 'A wicked hurricane season, falling advertising sales and a canceled movie sapped fourth-quarter profit at Disney, the company said, leading to the first drop in annual results since the financial crisis almost a decade ago. The downdraft from bad weather, lower ad sales and a tough year for movies was too powerful even for Disney, which counts on TV, theme parks, consumer products and its famous studio to fuel growth.Chief Executive Officer Bob Iger warned a year ago that fiscal 2017 would be an ?anomaly? and followed up by saying earnings would be ?roughly in line? with last year. His forecast was almost spot on.', 'Fourth-quarter profit at Disney?s cable TV unit, the company?s single biggest profit contributor, slumped 1.2 percent to $1.24 billion, hurt by weak advertising sales and higher programming costs for baseball and football at ESPN. Affiliate fees rose even as subscribers declined. ESPN plans to fire about 100 employees in a new round of job cuts, according to a person with knowledge of the matter who asked not to be identified.', 'In recent quarters, the company?s theme-park division came to the rescue with strong earnings, driven by higher ticket prices and guest spending, along with new attractions that boosted attendance. Although profit rose, Hurricane Irma forced Disney to close its four Orlando, Florida, parks for two days and cancel three cruises. Domestic resort profits fell.', 'Capital spending in the current year will rise by about $1 billion, driven particularly by parks and resorts, Iger said. The company has Star Wars lands under construction in both California and Florida, and Toy Story Lands being built in Orlando and Shanghai. Capital spending totaled $3.63 billion in the year just ended.', '?No other company in entertainment today is better equipped to meet the challenges of a changing world or better positioned for continued growth thanks to our collection of brands,? Iger said on the call.', 'Burbank, California-based Disney faced other headwinds this year, including a light release schedule of just eight films from its movie division, a drop from past years, and the ongoing challenge of finding consumer products to match the bonanzas generated by ?Frozen? and ?Star Wars: The Force Awakens.? The company last quarter took a write-off on an unreleased animated film, ?Gigantic.?', 'Disney said Thursday it?s already working on a new ?Star Wars? trilogy to follow the series that?s scheduled to wrap up in December 2019. Rian Johnson, director of ?The Last Jedi? installment that opens next month, is already at work on the project. The company also plans to create a ?Star Wars? TV show for its new streaming service.', 'The first picture in Disney?s ?Star Wars? revival, ?The Force Awakens,? cost $245 million to produce and went on to deliver $2.07 billion in box-office sales, according to Box Office Mojo.', 'For the quarter ended Sept. 30, Disney reported earnings of $1.07 a share, excluding some items, missing the $1.14 average of analysts? estimates. Sales slipped to $12.8 billion, compared with projections of $13.3 billion. For the year, profit and revenue both slumped 1 percent.', 'To adapt to shrinking cable-TV audiences, Iger is introducing direct-to-consumer subscription services based on ESPN and the company?s rich library of children?s programming. But startup costs, along with the potential loss of sales to third parties such as Netflix Inc., have added to investor worries.', 'The company reported a $140 million drop in income from investments, citing higher losses at BAMTech, its streaming unit, and Hulu, as well as lower earnings from A+E Television.', 'That may explain Disney?s interest in acquiring large parts of21st Century Fox Inc., including its film studio, some cable channels and stake in consumer TV services such as Sky Plc and Hulu LLC. Iger is due to retire in July 2019, potentially making a deal for the $54 billion Fox a crowning achievement in his long, successful career.', 'On the call Thursday, executives declined to comment on the Fox reports.', '', '', '', '?2017 Bloomberg L.P.']"
9,"['India?s benchmark indices continue to scale new peaks as investors bet on improving economic growth and corporate earnings. The benchmark Nifty 50 rose 7.6 percent in the quarter ended December?trailing the 17 percent gains in the mid-cap index and nearly 20 percent rise in the small-cap gauge.', 'Well-known value investors either bet on new stocks or added shares of companies already in their portfolios, mostly from the small- and mid-cap indices, during the quarter. There were also a few exits.', 'Here?s what Rakesh Jhunjhunwala, Dolly Khanna, Ashish Kacholia, Ramesh Damani and Radhakishan Damani bought and sold in the three months ended December based on company disclosures to exchanges on shareholders with 1 percent or more stake.', 'The billionaire investor added to his biggest holdings like jewellery-to-watchmaker Titan Company Ltd. and drugmaker Lupin Ltd., according to stock exchange filings. He also bought 15 lakh more shares in Sanjiv Goenka-promoted IT outsourcer Firstsource Ltd. Solutions. His holding in Fortis Healthcare Ltd. was not reported in the December quarter?Jhunjhunwala owned 1.54 percent in the hospital chain in the three months ended September.', 'Rajeev Khanna and Dolly Khanna added new stocks to their portfolio. The Chennai-based couple, who invest in the name of Dolly Khanna, reported stakes of over 1 percent in Gujarat Narmada Valley Fertilisers & Chemicals Ltd. and home appliance maker Butterfly Gandhimathi Appliances Ltd, according to filings. The Khannas also added to their largest reported holding Rain Industries Ltd., raising stake from 2.04 percent to 2.57 percent in the quarter-ended December.', 'Ashish Kacholia added more mid-cap stocks to his portfolio. The exchange data on bulk deal indicates that the Mumbai-based investor bought nearly 0.70 percent in logistics major Navkar Corp Ltd. He also acquired shares in Butterfly Gandhimathi and electronics and lifestyle retailer Vaibhav Global?also backed by Dolly Khanna and Mumbai-based investor Vijay Kedia.', 'Kacholia also participated in the warrant and preferential issue of Mirc Electronics Ltd., promoted by the Mirchandanis of the Onida Group. Once completed, Kacholia?s stake in the company is expected to touch 6.32 percent.', 'Ramesh Damani?s name features among individual shareholders having more than 1 percent stake in Quick Heal Techonologies, the maker of anti-virus software. His stake stood at 1.06 percent as on Dec. 31.', 'The billionaire promoter of Avenue Supermarts Ltd,. the parent of D-Mart retail chain, now holds 1.08 percent stake in Century Textiles Ltd,. according to the latest disclosures.']"
5,"['(Bloomberg) -- After a 3,985 percent rally since its 2008 listing, V-Guard Industries Ltd. -- which has evolved into one of India?s leading consumer-durable companies -- has found its next big growth plan: Internet of Things.', 'The company, which started 40 years ago with a mere 100,000 rupees, now has products ranging from food mixers to fans and is betting that rising personal incomes in the world?s second-most populous nation and more than a billion mobile-phone connections will boost its sales further.', '?IOT is the next big step for our company\xa0as smart-phone users are expected to rise every passing day and more people are becoming tech savvy,? Managing Director Mithun Chittilappilly said by phone from his office in Kochi, a city in southern India. The company plans to sell ?smart fans? after introducing water heaters and power back-up systems that use similar technology, he said.', 'V-Guard expects sales to rise 12 percent in the fiscal year through March 31, missing itstargetof 15 percent annual growth though the end of March 2022, after it passed on a higher tax rate to its customers following the recent introduction of a national goods and services levy.\xa0Revenue growth is expected to recover to at least 15 percent in its new financial year starting April, Chittilappilly said.', 'Read Bloomberg QuickTake Q&A on GST', 'Still, increasing competition along with higher copper prices are emerging as V-Guard?s ?key risks,? according to Sathyanarayanan M., an analyst at Cholamandalam Securities Ltd., who rates the stock as underperform. ?IOT is still in a nascent stage and it really needs to be seen how things pan out on that front,? he said. V-Guard has 10 buy ratings, six holds and two sell recommendations.', 'Chittilappilly, however, sees smart products comprising at least 10 percent of V-Guard?s total sales within seven years from 2 percent now and contributing to a widening of its gross margin by 50 basis points annually from fiscal year 2020. Earnings before interest, taxes, depreciation and amortization, or Ebitda, as a percentage of sales was 10 percent in the 2016-2017 fiscal year, according to data compiled by Bloomberg.', 'Revenue will get a further boost as the ?price premium of IOT products over normal appliances starts coming down,? Chittilappilly said. Sales rose 11 percent in the March to December period of this financial year compared with the same nine months a year earlier, the company said in a filing Monday. They increased 16 percent in the 2016-2017 fiscal year.', '?IOT is the future for sure and V-Guard has a kind of first-mover advantage as it?s among the top three Indian companies for products that can be upgraded with IOT services,? Aditya Bhartia, an analyst at Investec Capital Services India Pvt. in Mumbai who rates the shares as buy, said by phone. V-Guard is ?an extremely well-managed company with a very strong brand value,? he said.', '', '', '?2018 Bloomberg L.P.']"
6,"['(Bloomberg) -- Google is willing to pay more tax globally, Sundar Pichai, the chief executive officer of the largest business unit of Alphabet Inc., said Wednesday at the World Economic Forum in Davos, Switzerland.', '""We are happy to pay more tax, whatever the world agrees to,"" Pichai said, noting that the company?s current blended global tax rate is 20 percent. But he said the question was where Google should pay.', 'Critics have accused large U.S. technology companies like Google of paying too little tax outside the U.S., despite deriving a large portion of their revenue from these other countries.', 'Pichai said that as Google hired more engineers globally -- for instance, in France, where Googlesaid this weekthat it would add more engineering and research staff -- it would equalize the distribution of its tax payments across different countries.', 'In a wide-ranging question-and-answer session with WEF founder and executive chairman Klaus Schwab, Pichai touched on a number of other hot button subjects, from anti-trust complaints about Google to extremist content on its YouTube service.', 'In responding to questions about the European Commission?s decisionlast yearto fine Google 2.4 billion euros ($3 billion) for abusing its dominant market position in search, Pichai said the company believed its service had benefited consumers.', '""Even when you put the user first there can be winners and losers,"" he said. ""But we are confident the product we have benefits the consumers in Europe and that is what we have tried to emphasize.""', 'Asked about whether social media companies, including Google?s YouTube, should decide what content constitutes extremism or hate speech, Pichai said he did not think internet giants should be turned into the de facto arbiters.', 'Germany has begun enforcing Europe?s toughest law aimed at reining in hate speech and fake news on social media, threatening to fine tech firms as much as 50 million euros ($61 million) if they refuse to delete illegal posts.', 'Pichai?s views echo the thought of Elliot Schrage, Facebook Inc.?s vice president of public policy. Speaking at the DLD conference in Munich on Sunday, Schrage said Germany?s new law ""places the responsibility for us to be judge and jury and enforcer, determining what is legally required or not, on the private sector, on us as a platform,"" he said. ""And I think that?s a bad idea.""', 'Pichai said Google had tried to avoid this dilemma by relying on non-governmental groups that combat terrorism and extremism to guide its decision-making. But he said it was also helpful when governments had clearer definitions of what is allowed.', 'Klaus pressed Pichai about James Damore, a Google engineer fired after circulating a manifesto questioning women?s engineering abilities, and accusing Google of having too politically-correct a corporate culture. Damoreis now suing Googlefor discrimination.', '""The participation of women in tech is very, very low, but technology products affect everyone,"" Pichai said, defending Google?s emphasis on gender diversity. ""The only way to fix that is to involve more women in the development of technology.""', 'Pichai said he was glad that Damore?s manifesto had prompted an open discussion of the issue but that he wanted ""an inclusive culture for all Googlers.""', 'The CEO repeated his assertion, made earlier this week at a pre-Davos forum, that the advent of artificial intelligence would be more important to humanity than either the mastery of fire or electricity.', 'He said that while there were legitimate concerns about AI, it was important not to lose sight of its potential benefits.', '""The risks are substantial, but the way you solve it is by looking ahead, thinking about it, thinking about AI safety from day one, and to be transparent and open about how we pursue it,"" he said.', 'Countries should come together and agree not to use AI for military purposes, Pichai said.', 'He also said that the militarization of AI was unlikely to give a long-lasting advantage to any nation. ""AI is a great equalizer,"" he said. ""It?s tough to weaponize because everyone will have the same ability to get you back.""', '', '', '?2018 Bloomberg L.P.']"
3,"['(Bloomberg) -- Whether or not the White House choreographed the dollar?s slide to its lowest level in three years, the U.S. administration is certainly providing ammunition for those betting that the greenback will continue to weaken.', 'The U.S. currency is caught in the rhetorical cross hairs after Treasury Secretary Steven Mnuchin laid out the benefits of a weaker dollar for the American economy at Davos on Wednesday. The comments came days after U.S. President Donald Trump stepped up his protectionist push by slapping of tariffs on solar panels and washing machines. Subsequent remarks by Commerce SecretaryWilbur Rossthat Mnuchin has not shifted America?s long-standing strong-dollar policy did little to slow the currency?s depreciation.', 'Mnuchin?s comments give ?a green light to ongoing dollar weakness as far as the market is concerned,? said Shahab Jalinoos, global head of foreign-exchange trading strategy at Credit Suisse Group AG in New York. ?As long as these kind of messages are presented it allows the market to imagine that?s what the administration wants to see. It validates the idea that further weakness is possible.?', 'Losses for the greenback have mounted since Trump?s inauguration a year ago, with the currency weakening against every Group-of-10 peer. That may havemoreto do with the vagaries of central-bank policy and interest rates and divisions in Washington than it does with Trumponomics. But whatever the reason, the administration?s acceptance of a weak dollar provides additional encouragement for bears.', '?Obviously a weaker dollar is good for us as it relates to trade and opportunities,? Mnuchin told reporters in Davos. The currency?s short term value is ?not a concern of ours at all,? he said.', 'The U.S. currency dropped against all its G-10 peers Wednesday, with the British pound and Swiss franc among the leading gainers. The greenback dipped as much as 1.2 percent against the yen, while the euro added as much as 0.8 percent versus the dollar.', 'Stuart Bennett, head of Group-of-10 currency strategy at Banco Santander SA, said the comments show the White House may be ready to use the currency as part of its trade agenda.', 'The remarks are ?in line with protectionist headlines that we have had recently,? he said. ?Given the market?s willingness to blindly sell the dollar, such comments only help.?', 'While Treasury secretaries since the ?90s have tended to promote a ?strong dollar? as being in America?s interest, most have tweaked the message from time to time, albeit perhaps not as aggressively as Mnuchin and sometimes more in error than design.', 'In 1997, Robert Rubin noted the dollar had been robust ?for some time now,? prompting a selloff. In\xa02001, Paul O?Neill told a German newspaper ?we don?t follow, as is often said, a policy of a strong dollar,? before returning to the traditional rhetoric. His successor John Snow\xa0was more outspoken, saying in early 2003 that he wasn?t ?particularly concerned? by a falling greenback and noting the benefits to exporters.', 'Mnuchin?s comments also appear to echo the sentiments of his boss. During his first year in office, Trump has expressed his displeasure with a lofty currency, telling the Wall Street Journal last year that ?I like a dollar that?s not too strong? and adding that ?lots of bad things happen with a strong dollar.?', '?The forum and the context are crucial in sending a message that at a minimum, the U.S. views dollar weakness as benign and in the short term, potentially even favorable,? said Alan Ruskin, global co-head of foreign-exchange strategy at Deutsche Bank. ?The dollar?s obviously been trading awfully to even what might be good news for some time now. It?s clear its more responsive anyway to negative news at this moment.?', '', '', '', '?2018 Bloomberg L.P.']"
5,"['(Bloomberg) -- Wall Street is betting incoming Federal Reserve Chairman Jay Powell and fellow central bankers can pull back the punch bowl without spoiling the party too much.', 'Speaking at the annual meeting of the World Economic Forum in Davos, Switzerland, finance chiefs said in interviews on Wednesday that they expected central bankers to be able to tighten monetary policy while avoiding a crash in markets or the global economy.', '?People are worried about the number of Fed increases that might happen this year,?? James Gorman, chief executive officer of Morgan Stanley, told Bloomberg Television. ?I?m not, I think it?s healthy.??', 'JPMorgan Chase & Co. CEO Jamie Dimon said he was ?really not worried?? about central banks hitting the brakes too hard as he argued a combination of strong growth and slightly higher inflation would leave them with no choice but to raise interest rates.', '?They?re very slowly taking the punch bowl away,?? said Dimon.', 'Central banks are already preparing to withdraw stimulus this year by the most in a dozen years as the world economy enjoys its strongest upswing since 2011 and inflation accelerates. Surging stocks suggest not every investor has tuned into that message, leaving some Davos delegates to warn there is possibly too much complacency in markets especially given the risk of an inflation shock.', '?The Fed will not only tighten at a rate which is faster than is discounted in the curve, I think they?ll tighten at a rate which is probably faster than they are signalling,?? Ray Dalio, the billionaire founder of hedge fund Bridgewater Associates Inc., told Bloomberg Television.', 'At Citigroup Inc., CEO Michael Corbat said financial markets have never seen a reduction of stimulus like the one that lies ahead. Central banks responded to the financial crisis and recession of a decade ago by cutting benchmark borrowing rates to zero and buying bonds via so-called quantitative easing.', 'But he sees Powell following incumbent Janet Yellen?s ?mindful?? approach when he takes over next month.', '?What we?ve seen so far are central banks that have been committed to the long cycle, they?re fully invested in QE and they?re not going to yank that liquidity out and cause disruption in the market,?? he said. ?One of the risks in there is that not just the Fed but other central banks get behind the curve in terms of raising rates and containing inflation and inflation gets away from us.??', 'As for the European Central Bank, UBS Chairman Axel Weber predicted President Mario Draghi will be ?very cautious?? in ending quantitative easing and eventually raising rates. Its officials meet on Thursday although no change in policy is expected.', '?The ECB probably will not want to rock the boat and be very gentle in how they change the outlook,?? he said.', '?The question is will the central banks continue their current very muted path of interest rates hikes or will they fall behind and have to start increasing the pace,? he added.', 'Harvard University Professor Ken Rogoff said markets could be undermined if tightening by the Fed drew the ire of President Donald Trump.', '?There could be lot of tension between Donald Trump and the Fed if the stock market falls for some reason and they need to raise interest rates,?? said Rogoff. ?We could suddenly see tweets about Jay Powell in the middle of the night.?', '', '', '', '?2018 Bloomberg L.P.']"
6,"['The global economy is projected to grow at a stronger pace this year than the last, but that?s not without risks, according to Harvard Economist Kenneth Rogoff. And ?one of them is coming to Davos.?', 'The International Monetary Fund recently revised its global growth projections upward for 2018 after nine years of downgrades. But this outlook is subject to risks, he told BloombergQuint on the sidelines of the World Economic Forum at Davos, Switzerland. Besides U.S. President Donald Trump, risks coming in from China and a faster-than-expected pace of policy rate hikes by global central banks could jeopardise the ?economic calm?.', 'A rapid rise in rates is not his baseline scenario, but the Harvard economist is ?more uncertain about it than the markets?.', 'Also Read:World Economy Is Fine, Worry About Geopolitics, Says Nobel Laureate Pissarides', 'Inflation has not turned out to be a big worry for the global economy so far, but Rogoff believes it will kick in eventually. ?You have accelerating growth, unemployment being really low and now fiscal stimulus. Inflation will rise above 2 percent in the U.S. this year.?', 'Also Read:Three Events That Could Derail Global Growth', 'Here are edited excerpts from the conversation.']"
